ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;WMUpdating;WMBoxes;WMGrid
116;f;61;5;old;0.833333333;0.625;0.7538448
117;m;65;5;old;0.833333333;0.75;
118;f;64;5;old;0.666666667;0.75;0.90755
119;f;61;5;old;0.666666667;0.375;0.732438
120;m;72;6;old;0.5;0.75;0.8694074
121;f;60;5;old;0.833333333;0.625;0.8096431
122;f;54;4;old;1;0.625;0.8231824
123;f;53;4;old;0.666666667;0.25;
124;m;52;4;old;0.5;0.625;0.804036
125;m;41;3;young;0.5;0.625;
126;f;54;4;old;0.666666667;0.375;
127;f;59;4;old;1;0.75;0.7826292
128;f;39;3;young;0.5;;
129;f;55;4;old;0.666666667;0.25;
130;f;46;3;young;0.666666667;0.375;0.7211591
131;m;53;4;old;1;0.25;
132;f;58;4;old;0.666666667;0.5;
133;f;64;5;old;0.5;0.75;0.7361892
134;m;59;4;old;0.833333333;;
135;m;55;4;old;0.666666667;0.75;
136;m;54;4;old;0.666666667;0.375;
137;f;44;3;young;0.666666667;;
138;m;46;3;young;0.666666667;0.25;
139;f;42;3;young;0.5;;
140;f;53;4;old;0.833333333;;
141;f;58;4;old;0.5;;
143;f;44;3;young;0.5;;
144;m;46;3;young;0.833333333;0.625;0.778663
145;f;56;4;old;1;0.375;0.8382124
146;m;53;4;old;0.666666667;0.75;0.6422484
147;f;44;3;young;0.666666667;0.375;0.7959535
148;f;45;3;young;0.666666667;0.875;0.8598342
149;f;58;4;old;0.833333333;0.5;0.7673841
150;m;58;4;old;0.833333333;0.375;0.8286392
151;f;58;4;old;1;0.5;0.90755
152;f;48;4;young;0.833333333;1;0.7211591
153;f;49;4;young;0.833333333;0.375;0.8517517
154;m;53;4;old;0.833333333;0.625;
155;m;48;4;young;0.833333333;0.375;0.8557178
156;m;57;4;old;0.666666667;0.625;0.865291
157;m;54;4;old;0.666666667;0.625;0.7756168
158;m;58;4;old;1;0.5;0.8979768
159;m;46;3;young;0.666666667;0.75;0.865291
160;f;57;4;old;0.666666667;0.625;0.7768071
161;f;46;3;young;0.666666667;0.25;0.8058919
162;m;46;3;young;0.666666667;0.5;0.7959535
163;f;45;3;young;0.666666667;0.625;
164;m;55;4;old;0.666666667;0.625;0.6997523
165;f;55;4;old;0.666666667;0.75;0.7824142
166;m;52;4;old;0.666666667;0.625;0.613679
167;f;58;4;old;0.333333333;;
168;f;54;4;old;0.666666667;;
169;m;52;4;old;0.833333333;;
170;f;43;3;young;1;;
171;m;40;3;young;0.666666667;;
172;m;44;3;young;0.666666667;;
173;m;40;3;young;0.666666667;;
174;f;56;4;old;0.833333333;;
175;f;41;3;young;0.5;;
176;f;59;4;old;1;;
177;f;52;4;old;0.666666667;;
181;f;56;4;old;1;;
182;f;56;4;old;0.666666667;;
184;m;58;4;old;0.833333333;;
189;m;41;3;young;0.666666667;;
190;f;43;3;young;0.833333333;;
191;m;43;3;young;0.666666667;;
192;m;45;3;young;0.666666667;;
193;m;54;4;old;0.666666667;;
194;m;51;4;old;0.5;;
195;m;58;4;old;1;;
196;f;36;3;young;0.666666667;;
197;f;46;3;young;0.5;;
198;f;41;3;young;0.666666667;;
199;f;57;4;old;0.666666667;;
