ID ;Gender;Age_months;Age_group;AdditionalSupportNeeds;MidtestingAgeMonths;MidtestingAgeGroup;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;Success;ExperimenterStopped_TimeUp;ExperimenterStopped_ChildUnmotivated;ChildStoppedNotCrying;ChildStoppedCrying;AfterHowManyMin;WasAnyToolUsedtoTryToGetSticker;FirstToolUsedToTryToGetSticker;IfToolsWereUsedToTryToGetSticker_WhichOrder;DidChildTryToGetToolsFromTheBoxes;WereAnyToolsFromTheBoxesObtained;IfToolsWereObtainedFromBoxes_WasStickUsed;IfToolsWereObtainedFromBoxes_WhichOrder;Description;Category;Video;Success;Specifier1;Specifier2;Specifier3;Specifier4;Specifier5;Specifier6;Specifier7;Specifier8;Score
12;f;62;5;no;63;5;old;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Inserts finger in tube, inserts several fingers, inserts fingers on both sides of tubes at the same time, inserts fingers on one side, then on both sides; does this for the first 5 min. E reminds her that she can use anything that is on the table, then she picks up short stick and inserts it into the tube, tries to reach sticker with stick for some time, no success";nosuccess_focusontubeonly_shortstick;ID12_AdditionalTask_ToolUse_f_5y_View1, ID12_AdditionalTask_ToolUse_f_5y_View2;No success;Focus on tube only;Uses short stick;;;;;;;2
10;m;43;3;no;44;3;young;yes;We were testing outside, the wind blew the bottle lid within reach;incorrect;;;;;;;;;;;;;"Inserts short stick in tube, hits stick on top of tube, inserts stick in tube, both sides, ""I can't do this"" (several times), inserts stick in both sides, ""I'm shaking the table"", wind blew and moved bottle lid within reach";dropout;ID10_AdditionalTask_ToolUse_m_3y_View1, ID10_AdditionalTask_ToolUse_m_3y_View2;;;;;;;;;;
13;f;41;3;no;42;3;young;no;;no;yes;no;no;no;;no;;;no;;;;Inserts finger in tube, seems unengaged, unmotivated, not interested, does not move for the entire 10 min, only has her finger inside the tube, no tool pick up, at the end kneels and then sits down (with the finger still in the tube). Behaviour similar to ID5;nosuccess_focusontubeonly_hand;ID13_AdditionalTask_ToolUse_f_3y_View1, ID13_AdditionalTask_ToolUse_f_3y_View2;No success;Focus on tube only;Uses hand;;;;;;;1
32;f;43;3;no;43;3;young;no;;no;yes;no;no;no;;no;;;no;;;;"Note that the tool boxes were in a different order. Inserts finger in tube ""Can't get it"", stands at corner while inserting finger into tube, inserts hand ""not big enough"", keeps hand inserted, keeps inserting finger, inserts hand ""nope, can't"", ""can't"", ""nope"", ""I can't"", keeps inserting finger and saying ""nope"", E gave reminder after 7 min, child immediately said ""no"", keeps inserting finger, kind of frozen, did not touch or pick up stick, no tool pickup";nosuccess_focusontubeonly_hand;ID32_AdditionalTask_ToolUse_f_3y_View1;No success;Focus on tube only;Uses hand;;;;;;;1
51;f;41;3;no information;43;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;yes, with tool;no;;;"During explanation of E, already picks up stick and inserts in tube, when E and child go around table, child inserts stick in rope cage. Inserts stick again in tube, hits stick on top. ""oh my gosh"". ""I can't - it's so hard"", ""This is not very easy"", ""I can't get it out"", puts stick on table, but then picks it up again and tries to get the sticker. Pushes stick really hard inside tube, ""can you help me?"", ""come on!"" ""It's not coming!"", tries really hard, ""it's a little bit hard"", ""I can't do it"", rams stick into tube, ""can you help me?"", ""maybe..."", ""I can't do it"", holds short stick up and announces ""this one's not strong enough"", insert stick again ""come on"", Tool pickup and inserting into tube, also inserted into rope cage";nosuccess_focusontoolboxes_distractortoolshortstick;ID51_AdditionalTask_ToolUse_f_3y_View1, ID51_AdditionalTask_ToolUse_f_3y_View2;No success;Attends to tool boxes;Uses short stick;Tries to get distractor tool;;;;;;3
34;f;46;3;global developmental delay;46;3;young;no;;no;no;yes;no;no;;no;;;no;;;;tries to pick up target box, seems overwhelmed, inserts finger in tube, then hand, inserts finger in tube repeatedly, disengages from task and doesn't interact, when prompted, engages again, but only for short time, disengages from task, is uninterested, E decided to stop game after 5 min;nosuccess_focusontubeonly_hand;ID34_AdditionalTask_ToolUse_f_3y_View1, ID34_AdditionalTask_ToolUse_f_3y_View2;No success;Focus on tube only;uses hand;;;;;;;1
33;f;46;3;mild developmental delay, non epileptic episode, sensory issues;47;3;young;no;;no;no;no;yes;no;;yes;short stick;short stick;no;;;;"""i need my hand"", inserts finger in tube, ""It's hard"", picks up yellow stick and hits tube, ""not coming out"", inserts stick in tube ""stick in here"", ""excuse me, it's hard"", ""it's not coming out"", takes stick again in hand and hits on tube, ""it come out - it's hard"", hits stick very hard on tube, runs away, stopped game. She interacts with the experiementer a lot, almost as if she wants to get her to come and play with her. ";nosuccess_focusontubeonly_shortstick;ID33_AdditionalTask_ToolUse_f_3y_View1, ID33_AdditionalTask_ToolUse_f_3y_View2;No success;Focus on tube only;Uses short stick;;;;;;;2
79;f;45;3;no;46;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Inserts stick in tube, hits stick on top of tube, tries to get sticker from outside of tube by pushing stick against middle front of tube, against tape, hits stick on tube, tries to get tape of tube with stick, has to be discouraged. ""I need help"", tries to remove tape with stick, is discouraged by RA (2x), pushes stick against middle of tube, levers between tube and platform and has to be discouraged 2-3 times. Inserts stick in tube, E gives another hint after ~6min (everything on the table...) but keeps inserting stick into tube, gets several hints but no change, ""I need help"" at 7 min, keeps inserting stick, ""I need help"", keeps inserting stick, drops stick on floor and only upon prompt from RA tries to get it back, when getting hint about materials on the table says ""I know"", inserts stick in tube. Only INSERTION OF STICK INTO TUBE";nosuccess_focusontubeonly_shortstick;ID79_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
76;m;51;4;no;52;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Picks up stick before instructions are over and takes it with him round the table. Inserts stick in tube, tries to get star, ""it's tricky"", ""can't even get the star"", ""can't move it"", ""can't even get the star out, it is tricky"", ""If I had a long thing, I could get it"", inserts stick from other side, ""can't even get it"", runs away and wants to put a random nursery toy at the tip of the stick, then comes back to table and explains an idea, i.e., to stick something like a sticker at the end of the stick and so we can get the star, runs away to another table to look for a pencil, ""what do these thinsg actually do?"" [the tool boxes], keeps inserting the stick into the tube, is quite persistent, ""i can't even reach it"", when E prompts him that he can use anything on the table, says ""these things do nothing"", ""do these boxes do something?"", ""I can't touch it"" [star with stick], describes how to get the sticker out: something long has to be added to the stick, then the star pushed out of the tube (!), ""I can't get it"", ""that's the one stuff that I can think of"" as reply to E prompt, keeps inserting th stick ONLY INSERTION OF STICK INTO TUBE";nosuccess_focusontubeonly_shortstick;ID76_AdditionalTask_ToolUse_m_4y;No success;Focus on tube only;Uses short stick;;;;;;;2
75;f;39;3;no;40;3;young;no;;no;yes;no;no;no;;no;;;no;;;;Inserts finger in box, then several fingers at once, then stops and looks at E, stops quite often , seems hesitant/unmotivated, inserts finger in tube, stops several times to look at E, points to hose in box when E gave reminder that she could use anything she liked, is rather disengaged, inserts several fingers into tube at once, looks at tube, then inserts fingers again, looks at E several times, gets several prompts and reminders by E but never even picks up the stick, at times stops and looks at E, has to be encouraged quite often to continue, puts finger in tube, does not seem very motivated, has finger inserted, puts finger in from time to time, does not utter anything, NO TOOL PICKUP. Addition from Zsuzsa:  at around 2:30 minutes she kneels down and has a closer inspection of the apparatus. ;nosuccess_focusontubeonly_hand;ID75_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses hand;;;;;;;1
84;f;50;4;no;52;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;yes, with tool;no;;;"Picks up stick before instructions are finished, takes stick with her when going around the table. Inserts stick in hose cage during instructions. After instruction inserts stick in tube and tries to reach sticker ""It doesn't bend that way!"", tries hard to get the star out, ""I don't"" ""Look!"" Shows that she wants to get the star out , ""It doesn't bend that way"", ""this way!"" seems very engaged, ""I'm trying!"", gets a reminder, then points to cage with long stick ""It's this one"", ""look"", ""I want to get it out of there""; but doesn't go round the table, inserts short stick in tube again, ""I keep trying"", ""but it keeps bending this way"", ""I just need to learn how to"", ""I can't"" plays with short stick (rolls it on table), has to be re-egaged ""I need your help"", keeps inserting stick, hits stick on long stick cage ""that's long and I can get that out"", ""because that's only a short stick"", but then inserts short stick in tube again, keeps inserting stick in tube, ""it can take the star out"", ""this is only short"" points to long stick box - ONLY TOOL PICKUP";nosuccess_focusontoolboxes_hoseshortstick;ID84_AdditionalTask_ToolUse_f_4y;No success;Attends to tool boxes;Uses short stick;Tries to get hose;;;;;;4
80;f;43;3;no information;45;3;young;no;;no;yes;no;no;no;;no;;;no;;;;"Inserts finger in tube ""nothing"", ""I can't get it out"", ""can't"" (2x), inserts fingers in both sides, points to rope box ""this one"", ""can't"", ""I cannot get it!"" (2x), keeps inserting finger in tube, after a prompt points to rope box ""this one"". ""but how can I get it out?"" ""I cannot get it"", kneels down and looks inside tube, accidentally knocks stick from table, no reaction from her, RA picked stick up after 20 sec and placed it back on the table, ""I cannot"", ""I can't"", ""I cannot get it"", inserts 2 fingers in tube left and right, after prompt points to hose box ""I wanna try this one"" ""how can i get it out"", then tries to get star, ""i cannot get it"" prompt by E, then points to rope box, tries to lift box up and has to be discouraged, ""I cannot do it"", ""how can i get it out?"", "" i cannot get it"", knocks stick down again, puts it back on table. No Tool pickup";nosuccess_focusontubeonly_hand;ID80_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses hand;;;;;;;1
78;m;41;3;no;43;3;young;no;;no;no;yes;no;no;;no;;;no;;;;"Points to box with long stick during instruction and then after instruction several times, ""you can't get that out"", when prompted by E, points to that box again and looks at E, repeatedly knocks on long stick box, touches tube, touches tube with stick, shrugs, inserts fingers in tube, but only slightly, doesn't really try to reach the star, traces tube with fingers, holds tube, when E prompts, points to rope box, touches rope box, is rather frozen, looks sad. TOOL PICK UP";nosuccess_focusontubeonly_hand;ID78_AdditionalTask_ToolUse_m_3y;No success;Focus on tube only;Uses hand;;;;;;;1
77;f;41;3;no information;42;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Picks up stick immediately after instructions and inserts in tube, tries to get star, stands slightly sideways, looks somewhat unengaged, but still tries more than other children. Gets prompt, but no reaction. Only has stick inserted in one side (where she put it in first), looks at E ""I can't get it out"" while still trying to reach the star, ""can't do it"", ""I can't do it"", keeps stick inserted, looks at E, takes off her jumper, then continues, the stick is always inserted in the tube gets distracted a bit by other children, ""I need help"" INSERTED STICK IN TUBE";nosuccess_focusontubeonly_shortstick;ID77_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
19;f;37;3;no;39;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;no;;;;"Puts finger in tube ""I can't"", ""I can't get my fingers in"", ""I need help"", inserts stick in tube, ""too big"", ""I need help"", ""i can see that face [on the star]"" ""It's really stuck"", gets prompt by E, puts finger in tube, ""I can't do it"", hits stick on one of the cages, ""I can't do it"", inserts stick in tube, runs to E, gets prompt, hits stick on tube, goes to E again, ""I can't do it"", disengages. she goes away from the table a coupe of times, needs a lot of prompting to get back to it, game stopped after 5 minutes because she is completely disengaged. INSERTS STICK IN TUBE";nosuccess_focusontubeonly_shortstick;ID19_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
20;f;53;4;suffers from prolonged febrile convulsions;56;4;old;no;;incorrect;no;no;no;no;01:15;yes;short stick;short stick, hose;yes, with hand;yes;no;hose;Immediately after instructions goes to the boxes, tries to take long stick with hand, does not take it, then picks up and inserts short stick in to tube, then stries to take the string with her hand and then tries to take the bendy hose with hand. She manages to take that out, inserts in to the tube and gets star out. ;incorrectsuccess;ID20_AdditionalTask_ToolUse_f_4y_1, ID20_AdditionalTask_ToolUse_f_4y_2;Incorrect success;Attends to tool boxes;uses hand;gets hose;;;;;;6
21;f;41;3;no information;43;3;young;no;;incorrect;no;no;no;no;08:45;yes;short stick;short stick;no;;;;"Picks up stick and inserts in tube, hits stick on table, inserts stick again from both sides ""too hard, too hard to get it out"", ""it's not easy"" hits with hand on tube, then with stick on tube, and then on table ""it's not working"", gets prompt after 4 min, runs around table, hits really hard on tube with hand, ""it's moving"", inserts stick and tries to get sticker, actually manages to touch the star with the stick, ""maybe a rope"", ""running around to find"" runs around the table several times, ""does not work [stick]"" ""rope!"", ""there is a rope!"", runs around table several times, gets prompt, she puts stick in tube, ""not working""; runs around table, ""that yellow thing [stick] I already used"", blows into tube, ""look! It's like wobbling!"" blows cap out of the tube, INCORRECT SUCCESS";incorrectsuccess;ID21_AdditionalTask_ToolUse_f_3y_1, ID21_AdditionalTask_ToolUse_f_3y_2;Incorrect success;Focus on tube only;Blows into tube;;;;;;;
23;f;51;4;no;54;4;old;no;;no;no;yes;no;no;;no;;;no;;;;Reaches her arm over the boxes and tries to pick up the tube. She stands at the boxes and reaches over them. Tries to grab the tube with her fingers, does not go round the table. After a long while goes 90 degree to the short side of the table and grabs tube with hand. Moves short stick accidentally, but ignores it. Goes back to side with boxes, reaches over boxes and grabs tube, reaches inside tube, grabs again. Gets prompt, keeps reaching over boxes. She might have been initimdated because there were girls sitting on the side of the tube. Seems a bit unengaged, keeps grabbing the tube. Goes to short side of table again and grabs tube, inserts fingers. When E gives another prompt, picks up stick, but immediately puts it down again. Grabs tube with fingers, goes to short side of table again and grabs tube. E stops after 9 min approximately. TOOL PICKUP;nosuccess_focusontubeonly_hand;ID23_AdditionalTask_ToolUse_f_4y;No success;Focus on tube only;Uses hand;;;;;;;1
28;m;47;3;Speech is slightly impaired;49;4;young;no;;no;no;yes;no;no;;yes;short stick;short stick;yes, with tool;no;;;"Picks up stick during instruction and inserts in tube, when going round the table with E inserts stick in hose box, then comes round the table and inserts stick in tube. Drops stick, immediately picks it up again. ""stick no reach"", ""I missed it"", inserts stick in tube and tries to get the star ""green star"" ""I can't get it out"", ""I can't get it"", is engaged, sits on table, then kneels in front of it, ""It's moving"" ""it's getting there"", ""It's not long"", then plays with stick, kneels down and inserts stick in tube, ""I can't get it"", "" no more"", runs away and brings another stick from the nursery, then another toy. gets several reminders, inserts stick in tube, fetches a train from nursery, tres to insert it into tube. Gets another big reminder, then E stopped game.";nosuccess_focusontoolboxes_hoseshortstick;ID28_AdditionalTask_ToolUse_m_3y;No success;Attends to tool boxes;Uses short stick;Tries to get hose;;;;;;4
99;f;45;3;no;47;3;young;no;;no;no;yes;no;no;;no;;;no;;;;Points to rope box, is very slow. Gets prompt, points to rope (several times), is very frozen. E stopped game after 4.5 min as child did not react, was very shy and frozen. No tool pickup;nosuccess_focusontubeonly_no/littleinteraction;ID99_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;no/little interaction;;;;;;;0
98;f;46;3;speech + language;47;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;no;;;;"Talks to E, follows E around, gets prompt, takes stick and inserts into tube, in both sides, looks at E, ""I can't do it"", pushes stick really hard into tube, on both sides, gets prompt, ""I can't do it"", ""my finger can't go in there"", ""my finger is too tiny"", disengages, gets prompt, inserts stick in tube, E finishes at 7 min";nosuccess_focusontubeonly_shortstick;ID98_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
97;m;53;4;no information;55;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;yes, with hand;no;;;"Takes stick and inserts in tube, ""I can't get it"", ""It can never get out…it's stuck in there"" ""I tried everything"", ""I can't turn that"" ""I can never get that out"" inserts stick in tube ""but nothing…everything is in these boxes"" [points to boxes] ""it's not bending"", talks quite a lot, keeps inserting the stick ""I can't bend it down"" ""I think I need this"" [rope], goes round table, inserts hand in rope box, ""How can I get it?"" goes back to tube, inserts stick in tube ""I can't do it"" ""this is not long enough"" ""that's strange...and it's a bit hard...how can I do it?"" ""It's not turning"" ""there is a stick on the table, but it can't do it...and there are boxes...I can never do it"". E stoped because time was over";nosuccess_focusontoolboxes_distractortoolhand;ID97_AdditionalTask_ToolUse_m_4y;No success;Attends to tool boxes;uses hand;Tries to get distractor tool;;;;;;3
96;m;54;4;Speech Therapy;56;4;old;no;;no;no;yes;no;no;;yes;short stick;short stick;yes, with tool;no;;;"Inserts finger in tube ""can't get it"" (2x), moves stick, kneels in front of box, picks up stick and inserts in tube ""that…"" ""mh-mh"" ""this side"" [points to boxes], kneels in front of hose box for 1 sec ""no"", goes back to tube and inserts stick ""can't get it"", gets prompt, pushes stick down on hose box several times, is very engaged ""it's hard"", falls down on ground ""dead"", keeps inserting stick in tube, pushes really hard for a long time, gets another prompt, goes around table, inserts stick in hose box for a very short time, ""no"", goes round table again ""I can't"", E stops game";nosuccess_focusontoolboxes_hoseshortstick;ID96_AdditionalTask_ToolUse_m_4y;No success;Attends to tool boxes;Uses short stick;Tries to get hose;;;;;;4
95;f;45;3;no information;47;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;no;;;;"Tries to pick up tube and has to be discouraged, picks up stick and inserts in tube ""It's not turning"", ""it's a bit hard"", gets prompt, keeps inserting stick in tube, is relatively engaged, looks at E, doesn't say much, gets another prompt but doesn't move, just keeps inserting the stick, gets another prompt, but keeps inserting the stick, gets prompt, points to long stick ""maybe this"" but then keeps inserting the stick into the tube (this happens 2 times), doesn't do anything else";nosuccess_focusontubeonly_shortstick;ID95_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
94;f;45;3;no;47;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;no;;;;"Tries to take tube off, has to be discouraged, inserts fingers in tube, gets prompt, inserts finger, inserts stick in tube, tries to lift off tube, has to be discouraged, inserts finger in tube, wiggles tube tries to take it off, gets prompt, inserts stick in tube, in both sides, puts stick aside, wiggles tube, looks at E a lot, ""it's stuck"", looks at E, gets prompt, ""it's stuck"", wiggles tube, tries to take it off, inserts fingers, also in both sides, inserts stick in tube, gets prompt, doesn't react to boxes, tries to take tube off, E stops at 7 min. ONLY INSERT STICK IN TUBE";nosuccess_focusontubeonly_shortstick;ID94_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
93;f;45;3;no information;46;3;young;no;;yes;no;no;no;no;10:55;yes;short stick;short stick, rope, long stick, hose;yes, with hand and tool;yes;yes;rope, long stick, hose (with long stick);"Stands in front of boxes ""I wanna try the rope"", ""I want the rope"", looks inside the rope box ""I can't reach"", wants to lift rope box, has to be discouraged, ""it's stuck"", goes back to tube, picks up stick, inserts in tube, ""I don't know how to get it"", ""what about we tip it over?"" has to be discouraged, ""I have to think...what about...the long stick"" goes to box with long stick ""I can't reach"", tries to get fingers into box ""can't reach"", inserts stick in tube, ""I've got to get the star really quick"" ""look!"" points to hose ""it goes round the corner!!"" points to hose box, inserts stick in tube, tries to bend stick with hands ""it doesn't bend"", looks at E for help, picks up stick and goes round the table, inserts stick in rope box and gets rope, ""I managed!"", goes to tube ""can I get the star out?"", tries to insert rope in tube ""round the corner"", ""Oh-oooh! Oh dear!"" goes round the table, inserts stick in box with long stick and gets long stick, inserts long stick in tube, ""I got an idea"", goes round the table, tries to get hose ""can you help me get it out? It's stuck"", inserts long stick in hose box (!!!) and gets hose out ""Look! Wow!"" ""I got all the stuff out!"" ""time to get the star"", ""come on Ivy, get the star"", SUCCESS with double associative tool use. She provided commentary for the task the entire time, very talkative. ";success_withsometrialanderror;ID93_AdditionalTask_ToolUse_f_3y;Success;With some trial and error;;;;;;;;11
92;m;50;4;no;51;4;old;no;;no;no;yes;no;no;;no;;;no;;;;"stands on one spot ""I don't see anything"", ""I might need a long thing to get it out"", ""can't see anything"", slowly goes round the table, ""i can only see 2 things"", ""I can't see lots of things on the table, I can only see 2 things"", ""I don't know how to get it out"", doesn't touch anything for a very long time, gets prompt, doesn't move, looks at table, stands on short side of table, gets several prompts, doesn't move, ""I don't see anything"", no tool pickup at 7 min, ""I think I can get it out, but I don't know how to do it"", ""some long"" stopped at around 8 min, NO TOOL PICKUP";nosuccess_focusontubeonly_no/littleinteraction;ID92_AdditionalTask_ToolUse_m_4y;No success;Focus on tube only;no/little interaction;;;;;;;0
91;f;38;3;no;40;3;young;no;;no;no;yes;no;no;;no;;;no;;;;"Tries to lift tube, has to be discouraged, ""don't know"", gets prompt, points to hose ""that one"" (2x), ""I can't get it out"" (hasn't tried anything), ""call my mommy"", gets prompt, points to hose, ""can't get it out"", ""when is my mommy coming?"", ""I can't"", touches yellow stick, touches tube, ""can't get it out, my mommy's coming, my daddy's coming because I need help"", ""cannot get it out"", ""I can't try because it's my birthday"", gets prompt, points to tube but doesn't move, ""I can't do it! I cannot get it out!"", ""I can't"", but does insert finger to the box. NO TOOL PICKUP, INSERTS FINGER IN TUBE";nosuccess_focusontubeonly_hand;ID91_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses hand;;;;;;;1
